Chinese,Pinyin,English
上学,shàng xué,go to school
少,shǎo,less
谁,shéi,who
身上,shēn shàng,body; on one’s body
身体,shēntǐ,body
什么,shénme,What
生病,shēngbìng,"Fall
ill"
生气,shēngqì,"get
angry"
生日,shēngrì,Birthday
十,shí,Ten
时候,shíhou,time
时间,shíjiān,time
事,shì,thing
试,shì,try
是,shì,yes
是不是,shì bú shì,isn’t it?
手,shǒu,hand
手机,shǒujī,"Mobile
phone"
书,shū,book
书包,shū bāo,school bag
书店,shū diàn,bookstore
树,shù,tree
水,shuǐ,water
水果,shuǐguǒ,Fruits
睡,shuì,sleep
睡觉,shuìjiào,sleep
说,shuō,speak
说话,shuōhuà,talk
四,sì,Four
送,sòng,give
岁,suì,"year,
age"
他,tā,he
他们,tā men,they
她,tā,she
她们,tā men,they
太,tài,too
天,tiān,day
天气,tiānqì,weather
听,tīng,hear
听到,tīng dào,hear
听见,tīng jiàn,hear
听写,tīng xiě,dictation; dictate
同学,tóngxué,Classmate
图书馆,túshūguǎn,Library
外,wài,"abroad,
outside"
外边,wài biān,outside
外国,wài guó,foreign country
外语,wài yǔ,foreign language
玩儿,wánr,play
晚,wǎn,late
晚饭,wǎn fàn,dinner
晚上,wǎnshang,Night
网上,wǎng shàng,online
网友,wǎng yǒu,net friend
忘,wàng,forget
忘记,wàngjì,forget
问,wèn,ask
我,wǒ,I
我们,wǒmen,We
五,wǔ,Five
午饭,wǔ fàn,lunch
西,xī,west
西边,xī biān,west; west side
洗,xǐ,wash
洗手间,xǐshǒujiān,Restroom
喜欢,xǐhuan,like
下（名、动）,xià,below; under; next; go down; get off
下班,xià bān,get off work
下边,xià biān,below; under
下车,xià chē,get off
下次,xià cì,next time
下课,xià kè,finish class
下午,xiàwǔ,Afternoon
下雨,xiàyǔ,rain
先,xiān,before
先生,xiānsheng,Sir
现在,xiànzài,Now
想,xiǎng,think
小,xiǎo,Small
小孩儿,xiǎo háir,child; kid
小姐,xiǎojiě,Miss
小朋友,xiǎo péng yǒu,child; kid
小时,xiǎoshí,hour
小学,xiǎo xué,primary school; elementary schoo
小学生,xiǎo xué shēng,elementary school student
笑,xiào,laugh
写,xiě,write
谢谢,xièxie,"Thank
you"
新,xīn,new
新年,xīn nián,New Year
星期,xīngqī,week
星期日,xīng qī rì,Sunday
星期天,xīng qī tiān,Sunday
行,xíng,"That’s
ok"
休息,xiūxi,Rest
学,xué,learn; study
学生,xuésheng,Student
学习,xuéxí,Study
学校,xuéxiào,School
学院,xué yuàn,college; academy
要（动）,yào,want
爷爷,yéye,grandpa
也,yě,also
页,yè,page
一,yī,One
衣服,yīfu,clothes
医生,yīshēng,Doctor
医院,yīyuàn,Hospital
一半,yí bàn,half
一会儿,yíhuìr,"A
little while"
一块儿,yí kuàir,together
一下儿,yí xiàr,a little bit
一样,yíyàng,equally
一边,yìbiān,"One
side"
一点儿,yīdiǎnr,"a
little bit"
一起,yìqǐ,together
一些,yì xiē,some
用,yòng,use
有,yǒu,have
有的,yǒu de,some
有名,yǒumíng,Famous
有时候｜有时,yǒu shí hòu ｜ yǒu shí,sometimes
有（一）些,yǒu （ yì ） xiē,some
有用,yǒu yòng,useful
右,yòu,right
右边,yòubian,Right
雨,yǔ,rain
元,yuán,"element;
Yuan"
远,yuǎn,far
月,yuè,month
再,zài,again
再见,zàijiàn,Bye
在,zài,"stay;
in process of"
在家,zài jiā,at home
早,zǎo,early
早饭,zǎo fàn,breakfast
早上,zǎoshang,Morning
怎么,zěnme,How
站（名）,zhàn,station
找,zhǎo,"look
for"
找到,zhǎo dào,find
这,zhè,"Here
(here)"
这边,zhè biān,here
这里,zhè lǐ,here
这儿,zhèr,here
这些,zhè xiē,these
着,zhe,"in
process of"
真,zhēn,really
真的,zhēn de,really
正（副）,zhèng,just; exactly
正在,zhèngzài,"in
process of"
知道,zhīdào,know
知识,zhīshi,knowledge
中,zhōng,middle; in
中国,zhōngguó,China
中间,zhōngjiān,Middle
中文,zhōngwén,Chinese
中午,zhōngwǔ,Noon
中学,zhōng xué,middle school
中学生,zhōng xué shēng,middle School student
重,zhòng,heavy
重要,zhòngyào,important
住,zhù,live
准备,zhǔnbèi,"Get
ready"
桌子,zhuōzi,Table
字,zì,"word,
character"
子（桌子）,zi （ zhuō zi ）,noun suffix (table)
走,zǒu,"go,
walk"
走路,zǒu lù,walk
最,zuì,most
最好,zuìhǎo,Best
最后,zuìhòu,Last
昨天,zuótiān,Yesterday
左,zuǒ,left
左边,zuǒbian,left
坐,zuò,sit
坐下,zuò xià,sit down
啊 ,a,auxiliary word
爱情,àiqíng,Love
爱人,ài rén,lover
安静,ānjìng,Be quiet
安全,ānquán,security
白色,bái sè,white
班长,bān zhǎng,monitor; squad leader
办,bàn,do
办法,bànfǎ,Way
办公室,bàngōngshì,Office
半夜,bàn yè,midnight
帮助,bāngzhù,Help
饱,bǎo,full
报名,bàomíng,sign up
报纸,bàozhǐ,Newspaper
北方,běifāng,north
背（动）,bēi,carry on the back; shoulder
比如,bǐrú,such as
比如说,bǐ rú shuō,for example
笔,bǐ,pen
笔记,bǐ jì,note; notes
笔记本,bǐjìběn,Notebook
必须,bìxū,Must
边,biān,side
变,biàn,change
变成,biàn chéng,become; change into
遍,biàn,Times
表,biǎo,watch
表示,biǎoshì,Express
不错,bú cuò,not bad; pretty good
不但,bú dàn,not only
不够,bú gòu,not enough
不过,búguò,However
不太,bú tài,not too; not very much
不要,bú yào,don’t
不好意思,bù hǎo yì sī,sorry; feel embarrassed
不久,bù jiǔ,soon
不满,bù mǎn,dissatisfied
不如,bùrú,not as good as
不少,bù shǎo,not a few; a lot
不同,bù tóng,different
不行,bù xíng,no way; be out of the question
不一定,bù yī dìng,not necessarily; uncertain
不一会儿,bù yī huìr,"in a moment; in a little while;
soon"
部分,bùfen,Part
才（副）,cái,only; just
菜单,càidān,menu
参观,cānguān,visit
参加,cānjiā,participate in
草,cǎo,grass
草地,cǎo dì,grass; lawn
层,céng,layer
查,chá,search; check
差不多,chàbuduō,Almost
长,cháng,long
常见,cháng jiàn,common
常用,cháng yòng,in common use
场,chǎng,site
超过,chāoguò,Exceed
超市,chāoshì,Supermarket
车辆,chē liàng,car; vehicle
称¹（动）,chēng,call; say
成（动）,chéng,become; finish
成绩,chéngjì,achievement
成为,chéngwéi,Become
重复,chóngfù,repeat
重新,chóngxīn,again
出发,chūfā,Set out
出国,chū guó,go abroad
出口（名）,chū kǒu,export
出门,chū mén,go out
出生,chūshēng,Birth
出现,chūxiàn,Appear
出院,chū yuàn,discharged; leave hospital
出租,chū zū,rent
出租车,chūzūchē,Taxi
船,chuán,ship
吹,chuī,blow
春节,chūn jié,"Spring Festival; Chinese New
Year"
春天,chūn tiān,spring
词,cí,word
词典,cídiǎn,Dictionary
词语,cíyǔ,terms
从小,cóng xiǎo,from childhood
答应,dāying,promise
打工,dǎgōng,Work
打算,dǎsuàn,Plan
打印,dǎyìn,Print
大部分,dà bù fèn,most
大大,dà dà,greatly; enormously
大多数,dà duō shù,most; great majority
大海,dà hǎi,sea
大家,dàjiā,everybody
大量,dà liàng,a lot of; lots of
大门,dà mén,door; gate
大人,dà rén,adult
大声,dà shēng,loud
大小,dà xiǎo,size
大衣,dà yī,overcoat
大自然,dà zì rán,nature
带,dài,belt
带来,dài lái,bring
单位,dānwèi,Company
但,dàn,but; however
但是,dàn shì,but; however
蛋,dàn,egg
当,dāng,When
当时,dāngshí,at that time
倒,dǎo,"fall, topple, fail"
到处,dàochù,everywhere
倒,dào,inverted
道,dào,road; way; path
道理,dàolǐ,truth
道路,dào lù,road; way; path
得,dé,get
得出,dé chū,obtain results; reach conclusion
的话,de huà,if
得,de,auxiliary verb
灯,dēng,lamp
等（助、名）,děng,etc.; and so on
等到,děng dào,wait until; by the time
等于,děngyú,Be equal to
低,dī,low
地球,dìqiú,earth
地铁,dìtiě,metro
地铁站,dì tiě zhàn,subway station
点头,diǎn tóu,nod
店,diàn,shop; store
掉,diào,fall
东北,dōng běi,northeast
东方,dōng fāng,east
东南,dōng nán,southeast
冬天,dōng tiān,winter
懂,dǒng,understand
懂得,dǒng de,know; understand; comprehend
动物,dòngwù,Animal
动物园,dòng wù yuán,zoo
读音,dú yīn,pronunciation
度,dù,degree; limit
短,duǎn,short
短信,duǎnxìn,message
段,duàn,paragraph
队,duì,team
队长,duì zhǎng,team leader; captain
对（介、动）,duì,"to; at; face; be opposite;
answer"
对话,duìhuà,dialogue
对面,duìmiàn,Opposite side
多（副）,duō,much more; far more
多久,duō jiǔ,how long
多么,duōme,what
多数,duō shù,most; majority
多云,duō yún,cloudy
而且,ér qiě,and
发,fā,send out
发现,fāxiàn,find
饭馆,fàn guǎn,restaurant
方便,fāngbiàn,convenient
方便面,fāng biàn miàn,Instant noodles
方法,fāngfǎ,Method
方面,fāngmiàn,Aspect
方向,fāngxiàng,direction
放下,fàng xià,put down; lay down; drop
放心,fàngxīn,Don’t worry
分（动）,fēn,divide; part; distribute
分开,fēn kāi,separate; part
分数,fēn shù,score; mark; fraction
分钟,fēnzhōng,Minute
份,fèn,share
封（量）,fēng,(measure word)
服务,fú wù,service
复习,fùxí,Review
该（动）,gāi,deserve; should; owe
改,gǎi,"change; correct; revise; switch
over"
改变,gǎibiàn,change
干杯,gānbēi,Cheers!
感到,gǎn dào,feel; sense
感动,gǎndòng,Be moved
感觉,gǎnjué,feel
感谢,gǎnxiè,Thank
干活儿,gànhuór,work on a job
刚,gāng,just
刚才,gāngcái,just
刚刚,gāng gāng,just; only; just a moment ago
高级,gāojí,senior
高中,gāo zhōng,senior high school
个子,gèzi,Height
更,gèng,more
公共汽车,gōnggòngqìchē,Bus
公交车,gōng jiāo chē,bus
公斤,gōngjīn,Kg.
公里,gōnglǐ,kilometre
公路,gōng lù,highway; highroad
公平,gōngpíng,fair
公司,gōngsī,company
公园,gōngyuán,Park
狗,gǒu,Dog
够,gòu,enough
故事,gùshi,Story
故意,gùyì,deliberately
顾客,gùkè,customer
关机,guān jī,shutdown
关心,guānxīn,Care for
观点,guāndiǎn,viewpoint
广场,guǎngchǎng,square
广告,guǎnggào,Advertisement
国际,guójì,international
过来,guò lái,come; come over
过年,guò nián,celebrate the New Year
过去（动）,guò qù,go over; pass by
过,guò,cross; pass; spend; live
海,hǎi,sea
海边,hǎi biān,seaside
喊,hǎn,shout
好（副）,hǎo,well; fine; okay
好处,hǎochu,benefit
好多,hǎo duō,many; a lot of
好久,hǎo jiǔ,for a long time; long
好人,hǎo rén,good person
好事,hǎo shì,good deed; good thing
好像,hǎoxiàng,Be like
合适,héshì,appropriate
河,hé,river
黑,hēi,black
黑板,hēibǎn,blackboard
黑色,hēi sè,black
红,hóng,red
红色,hóng sè,red
后来,hòulái,later
忽然,hūrán,suddenly
湖,hú,lake
护照,hùzhào,passport
花（动）,huā,spend; expend
花园,huā yuán,garden
画,huà,painting
画家,huà jiā,painter; artist
画儿,huàr,painting; drawing
坏处,huài chù,disadvantage; harm
坏人,huài rén,bad person
欢迎,huānyíng,Welcome
换,huàn,change
黄,huáng,yellow
黄色,huáng sè,yellow
回（量）,huí,(measure word)
回国,huí guó,return home from abroad
会（名）,huì,"meeting; gathering; conference;
union; party"
活动,huódòng,activity
或,huò,or
或者,huòzhě,perhaps
机会,jīhuì,Opportunity
鸡,jī,chicken
级,jí,level; rank; grade; degree; step
急,jí,fast; anxious; urgent; annoyed
计划,jìhuà,plan
计算机,jì suàn jī,computer
加,jiā,add; increase; put in
加油,jiā yóu,"oil; refuel; make an all-out
effort"
家（科学家）,jiā,noun suffix (scientist)
家庭,jiātíng,Family
家长,jiā zhǎng,parent; the head of the family
假,jiǎ,false 
假期,jià qī,holiday; vacation
检查,jiǎnchá,inspect; check
见到,jiàn dào,see
见过,jiàn guò,seen; have seen
件,jiàn,piece
健康,jiànkāng,Healthy
讲,jiǎng,speak
讲话,jiǎng huà,speak; talk
交,jiāo,hand over
交给,jiāo gěi,hand over
交朋友,jiāo péng yǒu,make friends
交通,jiāotōng,traffic
角,jiǎo,horn
角度,jiǎodù,angle
饺子,jiǎozi,Dumplings
脚,jiǎo,foot
叫作,jiào zuò,be called; be known as
教师,jiào shī,teacher
教室,jiàoshì,Classroom
教学,jiào xué,teach
教育,jiàoyù,education
接,jiē,meet， pick
接到,jiē dào,receive
接受,jiēshòu,accept
接下来,jiē xià lái,next
接着,jiēzhe,Next
街,jiē,street
节（名、量）,jié,"festival; holiday; joint;
(measure word)"
节目,jiémù,program
节日,jiérì,festival
结果,jiéguǒ,Result
借,jiè,borrow
斤,jīn,a unit of weight (=1/2 kilogram)
今后,jīn hòu,from now on; in the future
进入,jìn rù,enter; go in; join
进行,jìnxíng,Conduct
近,jìn,near
经常,jīngcháng,Often
经过,jīngguò,"after, through"
经理,jīnglǐ,manager
酒,jiǔ,alcohol; liqueur
酒店,jiǔ diàn,hotel
就要,jiù yào,be going to; be about to
举,jǔ,lift
举手,jǔ shǒu,raise one’s hand or hands
举行,jǔxíng,hold
句,jù,sentence
句子,jùzi,sentence
卡,kǎ,card
开机,kāi jī,starting up
开心,kāixīn,Happy
开学,kāi xué,school opens; term begins
看法,kànfǎ,view
考生,kǎo shēng,examinee
靠,kào,lean
科,kē,subject; family; section
科学,kēxué,science
可爱,kě’ài,Lovely
可能,kěnéng,Probably
可怕,kěpà,dreadful
可是,kěshì,however
可以,kěyǐ,Sure
克,kè,gram
刻（量）,kè,a quarter (of an hour)
客人,kèrén,Guest
课堂,kè táng,classroom
空气,kōngqì,atmosphere
哭,kū,cry
快餐,kuài cān,fast food
快点儿,kuài diǎnr,hurry up
快乐,kuàilè,happy
快要,kuài yào,be about to; be going to
筷子,kuàizi,chopsticks
拉,lā,pull
来自,láizì,Come from
蓝,lán,blue
蓝色,lán sè,blue
篮球,lán qiú,basketball
老（副）,lǎo,always; constantly
老（老王）,lǎo （ lǎo wáng ）,noun prefix (Lao Wang)
老年,lǎo nián,elderly
老朋友,lǎo péng yǒu,old friend
老是,lǎo shì,always; all times
离,lí,leave
离开,líkāi,leave
礼物,lǐwù,gift
里头,lǐ tou,inside
理想,lǐxiǎng,ideal
例如,lìrú,for example
例子,lì zi,example
脸,liǎn,face
练,liàn,practice; train
练习,liànxí,Practice
凉,liáng,cool
凉快,liángkuai,Pleasantly cool
两（量）,liǎng,a unit of weight (=50 grams)
亮,liàng,bright
辆,liàng,Car (measure word)
零下,líng xià,below zero
留,liú,stay
留下,liú xià,stay; remain
留学生,liú xué shēng,"student studying abroad;
returned student"
流,liú,flow; spread
流利,liúlì,fluent
流行,liúxíng,Popular
路边,lù biān,roadside; wayside
旅客,lǚ kè,passenger; traveler
旅行,lǚxíng,travel
旅游,lǚyóu,Tourism
绿,lǜ,green
绿色,lǜ sè,green
卖,mài,sell
满,mǎn,full
满意,mǎnyì,Satisfied
猫,māo,cat
米（量）,mǐ,meter
面¹（名、量）,miàn ¹,(measure word); side; aspect
面²（名）,miàn ²,"face; surface; outside; side;
scale; flour"
面前,miàn qián,in front of; before
名,míng,name
名称,míng chēng,name; designation
名单,míng dān,list
明星,míngxīng,Star
目的,mùdì,objective
拿出,ná chū,take out
拿到,ná dào,get
那（连）,nà,then; in that case
那会儿,nà huìr,at that time; then
那么,nà me,like that; in that way
那时候｜那时,nà shí hou ｜ nà shí,at that time
那样,nà yàng,that kind; like that; such
南方,nán fāng,south
难过,nánguò,Sorry
难看,nán kàn,ugly
难受,nánshòu,Uncomfortable
难题,nán tí,problem; difficult problem; puzzle
难听,nán tīng,unpleasant to hear
能够,néng gòu,be able to; can
年级,niánjí,grade
年轻,niánqīng,Young
鸟,niǎo,bird
弄,nòng,"get,
make"
努力,nǔlì,Strive
爬,pá,climb; creep; scramble
爬山,páshān,"Mountain
climbing"
怕（动）,pà,be afraid; fear; dread
排（名、量）,pái,row; line
排队,páiduì,"queue;
stand in a line"
排球,pái qiú,volleyball
碰,pèng,"touch,
meet"
碰到,pèng dào,meet; run into; bump into
碰见,pèng jiàn,meet; run into; bump into
篇,piān,piece
便宜,piányi,Cheap
片,piàn,slice
漂亮,piàoliang,"Well
done!； beautiful"
平,píng,flat
平安,píng’ān,"sound
and safe"
平常,píngcháng,Usual
平等,píngděng,equality
平时,píngshí,peacetime
瓶,píng,bottle
瓶子,píngzi,Bottle
普通,pǔ tōng,ordinary; general; average; common
普通话,pǔtōnghuà,Mandarin
其他,qítā,Other
其中,qízhōng,among
骑,qí,ride
骑车,qí chē,cycle
起飞,qǐfēi,"take
off"
气,qì,air; gas; breath
气温,qì wēn,air temperature
千,qiān,thousand
千克,qiān kè,kilogram
前年,qián nián,the year before last
墙,qiáng,wall
青年,qīng nián,youth; young
青少年,qīngshàonián,Teenagers
轻,qīng,light
清楚,qīngchu,clear
晴,qíng,Sunny
晴天,qíng tiān,sunny day
请客,qǐng kè,stand treat; entertain
请求,qǐngqiú,request
秋天,qiū tiān,fall; autumn
求,qiú,request; beg; entreat; beseech
球场,qiú chǎng,court; field
球队,qiú duì,team
球鞋,qiú xié,sneakers; gym shoes
取,qǔ,take
取得,qǔ dé,acquire; gain; obtain
全,quán,whole; entire; complete
全部,quánbù,whole
全国,quán guó,nationwide; entire country
全家,quán jiā,whole family
全年,quán nián,annual; yearly
全身,quán shēn,whole body
全体,quán tǐ,all; entire; whole
然后,ránhòu,Then
让,ràng,"Give
Way"
热情,rèqíng,Enthusiasm
人口,rénkǒu,population
人们,rén men,people
人数,rén shù,number of people
认为,rènwéi,think
日报,rì bào,"daily, journal"
日子,rìzi,"life,
days"
如果,rúguǒ,If
入口,rùkǒu,Entrance
商量,shāngliang,discuss
商人,shāng rén,businessman
上周,shàng zhōu,last week
少数,shǎo shù,small number; few; minority
少年,shào nián,juvenile; young person
身边,shēn biān,at [by] one’s side
什么样,shén me yàng,what kind
生（动）,shēng,give birth; be born
生词,shēng cí,new word
生活,shēnghuó,Life
声音,shēngyīn,voice
省（名）,shěng,province
省（动）,shěng,economize; save; omit; leave out
十分,shífēn,very
实际,shíjì,Actual
实习,shíxí,Internship
实现,shíxiàn,Realization
实在,shízài,real; indeeed
实在,shízai,done carefully
食物,shíwù,food
使用,shǐyòng,Use
市,shì,city
市长,shì zhǎng,mayor
事情,shìqing,Thing
收,shōu,collect
收到,shōu dào,receive; obtain
收入,shōurù,income
手表,shǒubiǎo,"Wrist
Watch"
受到,shòudào,Suffer
舒服,shūfu,comfortable
熟,shú,ripe; cooked; familiar; skilled
数,shǔ,"to
count"
数字,shùzì,number
水平,shuǐpíng,level
顺利,shùnlì,smoothly
说明,shuōmíng,Explain
司机,sījī,Driver
送到,sòng dào,sent to (place)
送给,sòng gěi,give to (somebody or organization)
算,suàn,count; calculate
虽然,suī rán,although; though
随便,suíbiàn,casual
随时,suíshí,"at
any time"
所以,suǒ yǐ,so
所有,suǒyǒu,All
它,tā,it
它们,tā men,they
太太,tàitai,Ma’am
太阳,tàiyáng,sun
态度,tàidu,attitude
讨论,tǎolùn,discuss
套,tào,set
特别,tèbié,Especially
特点,tèdiǎn,Characteristic
疼,téng,hurt
提,tí,carry
提出,tí chū,put forward; propose; raise
提到,tí dào,mention; refer to
提高,tígāo,"increase,
promote"
题,tí,topic
体育,tǐyù,Sports
体育场,tǐ yù chǎng,stadium
体育馆,tǐ yù guǎn,stadium; gymnasium; gym
天上,tiān shàng,the sky; heaven
条,tiáo,strip
条件,tiáojiàn,condition
听讲,tīng jiǎng,attend a lecture; listen to a talk
听说,tīng shuō,be told; hear of
停,tíng,Stop
停车,tíng chē,park
停车场,tíng chē chǎng,parking lot
